PRODUTO;DESCRICAO;LOTE MINIMO;PRECO (R$);%ICMS;%IPI;IPI (R$)
SP3209;MODU TOM EMB BRASIKON 2P+T 32A 380/440V 9H VM;1;R$ 181,74;7;9,75;R$ 17,71
SP5004;MODU TOM EMB BRASIKON 3P+N+T 16A 100/130V 4H AM;1;R$ 160,77;7;9,75;R$ 15,67
SP5009;MODU TOM EMB BRASIKON 3P+N+T 16A 200/250V 9H AZ;1;R$ 160,77;7;9,75;R$ 15,67
SP5006;MODU TOM EMB BRASIKON 3P+N+T 16A 380/440V 6H VM;1;R$ 160,77;7;9,75;R$ 15,67
SP5005;MODU TOM EMB BRASIKON 3P+N+T 16A 600/690V 5H PT;1;R$ 450,16;7;9,75;R$ 43,89
SP5204;MODU TOM EMB BRASIKON 3P+N+T 32A 100/130V 4H AM;1;R$ 172,53;7;9,75;R$ 16,82
SP5209;MODU TOM EMB BRASIKON 3P+N+T 32A 200/250V 9H AZ;1;R$ 172,53;7;9,75;R$ 16,82
SP5206;MODU TOM EMB BRASIKON 3P+N+T 32A 380/440V 6H VM;1;R$ 172,53;7;9,75;R$ 16,82
SP4006;MODU TOM EMB BRASIKON 3P+T 16A 380/440V 6H VM;1;R$ 122,22;7;9,75;R$ 11,91
SP4005;MODU TOM EMB BRASIKON 3P+T 16A 600/690V 5H PT;1;R$ 402,58;7;9,75;R$ 39,25
SP4209;MODU TOM EMB BRASIKON 3P+T 32A 200/250V 9H AZ;1;R$ 136,58;7;15;R$ 20,48
SP4206;MODU TOM EMB BRASIKON 3P+T 32A 380/440V 6H VM;1;R$ 143,77;7;9,75;R$ 14,01
125309;PINO PILOTO 125A 4P (R) BRASIKON;1;R$ 2,52;7;9,75;R$ 0,24
S329;PINO PILOTO 63A MT BRASIKON;1;R$ 7,30;7;9,75;R$ 0,71
329;PINO PILOTO 63A MT BRASIKON;1;R$ 5,62;7;9,75;R$ 0,54
S3676;PLUG BRASIKON 2P+T 125A 200/250V 6H AZ IP67;1;R$ 1.240,03;7;9,75;R$ 120,90
S3074;PLUG BRASIKON 2P+T 16A 100/130V 4H AM IP44;1;R$ 28,49;7;9,75;R$ 2,77
S3076;PLUG BRASIKON 2P+T 16A 200/250V 6H AZ IP44;1;R$ 28,49;7;9,75;R$ 2,77
S3072;PLUG BRASIKON 2P+T 16A 24V 2H LI IP44;1;R$ 79,77;7;9,75;R$ 7,77
S3073;PLUG BRASIKON 2P+T 16A 24V 3H LI;1;R$ 44,82;7;9,75;R$ 4,36
S3079;PLUG BRASIKON 2P+T 16A 380/440V 9H VM IP44;1;R$ 28,49;7;9,75;R$ 2,77
S3075;PLUG BRASIKON 2P+T 16A 600/690V 5H PT IP44;1;R$ 48,44;7;9,75;R$ 4,72
S3274;PLUG BRASIKON 2P+T 32A 100/130V 4H AM IP44;1;R$ 55,02;7;9,75;R$ 5,36
S3276;PLUG BRASIKON 2P+T 32A 200/250V 6H AZ IP44;1;R$ 55,02;7;9,75;R$ 5,36
S3279;PLUG BRASIKON 2P+T 32A 380/440V 9H VM IP44;1;R$ 55,02;7;9,75;R$ 5,36
S3574;PLUG BRASIKON 2P+T 63A 100/130V 4H AM IP67;1;R$ 399,71;7;9,75;R$ 38,97
S3576;PLUG BRASIKON 2P+T 63A 200/250V 6H AZ IP67;1;R$ 399,71;7;9,75;R$ 38,97
S3572;PLUG BRASIKON 2P+T 63A 24V 2H LI IP67;1;R$ 803,90;7;9,75;R$ 78,38
S3579;PLUG BRASIKON 2P+T 63A 380/440V 9H VM IP67;1;R$ 399,71;7;9,75;R$ 38,97
S083;PLUG BRASIKON 3P 42VCA 16A (12H)BR BAIXISSIMA TEN;1;R$ 151,93;7;9,75;R$ 14,81
S5679;PLUG BRASIKON 3P+N+T 125A 200/250V 9H AZ IP67;1;R$ 1.681,93;7;9,75;R$ 163,98
S5676;PLUG BRASIKON 3P+N+T 125A 380/440V 6H VM IP67;1;R$ 1.681,93;7;9,75;R$ 163,98
S5079;PLUG BRASIKON 3P+N+T 16A 200/250V 9H AZ IP44;1;R$ 37,80;7;9,75;R$ 3,68
S5076;PLUG BRASIKON 3P+N+T 16A 380/440V 6H VM IP44;1;R$ 37,80;7;9,75;R$ 3,68
S5274;PLUG BRASIKON 3P+N+T 32A 100/130V 4H AM IP44;1;R$ 44,42;7;9,75;R$ 4,33
S5279;PLUG BRASIKON 3P+N+T 32A 200/250V 9H AZ IP44;1;R$ 44,42;7;9,75;R$ 4,33
