PRODUTO;DESCRICAO;LOTE MINIMO;PRECO (R$);%ICMS;%IPI;IPI (R$)
S613613FP;CONEC MULT BORNE 24A 2.5MM2 3VIAS PA66 100oC FLOW;50;R$ 1,27;7;9,75;R$ 0,12
S61361FP;CONEC MULT BORNE 24A 2.5MM2 PA66 100C 12VIAS;30;R$ 13,66;7;9,75;R$ 1,33
S71361;CONEC MULT BORNE 24A 2.5MM2 PA66 85C;1;R$ 5,26;4;9,75;R$ 0,51
S71362;CONEC MULT BORNE 41A 6.0MM2 PA66 85o.C;1;R$ 6,99;4;9,75;R$ 0,68
S71363;CONEC MULT BORNE 57A 10.0MM2 PA66 85o.C;1;R$ 8,87;4;9,75;R$ 0,86
S61363;CONEC MULT BORNE 57A 10.0MM2 PA66 85oC;10;R$ 7,72;4;9,75;R$ 0,75
S61364;CONEC MULT BORNE 76A 16.0MM2 PA66 100oC;10;R$ 12,67;7;9,75;R$ 1,23
TA463BQM;CHAVE LIG/DES 4P 63A P/BQM DE ALUMINIO;1;R$ 450,85;7;9,75;R$ 43,95
TA310E;CHAVE ROT D0 T-A3 FIX-E 10A;1;R$ 132,26;7;9,75;R$ 12,89
TA316EV;CHAVE ROT D0 T-A3 FIX-E/V 16A;1;R$ 278,76;7;9,75;R$ 27,17
TAU3110E;CHAVE ROT D0 T-AU31 FIX-E/V 10A;1;R$ 96,61;7;9,75;R$ 9,41
TU310E;CHAVE ROT D0 T-U3 FIX-E 10A;1;R$ 224,34;7;9,75;R$ 21,87
TU410E;CHAVE ROT D0 T-U4 FIX-E 10A;1;R$ 307,40;7;9,75;R$ 29,97
TW310E;CHAVE ROT D0 T-W3 FIX-E 10A;1;R$ 307,40;7;9,75;R$ 29,97
TWS210E;CHAVE ROT D0 T-WS2 FIX-E/V 10A;1;R$ 237,28;7;9,75;R$ 23,13
TA310V;CHAVE ROT D0 TA3 FIX-V 10A;1;R$ 307,40;7;9,75;R$ 29,97
TA220E;CHAVE ROT D1 T-A2 FIX-E 20A;1;R$ 141,81;7;9,75;R$ 13,82
TA316E;CHAVE ROT D1 T-A3 FIX-E 16A;1;R$ 132,26;7;9,75;R$ 12,89
TA320E;CHAVE ROT D1 T-A3 FIX-E 20A;1;R$ 141,81;7;9,75;R$ 13,82
TA332E;CHAVE ROT D1 T-A3 FIX-E 32A;1;R$ 152,70;7;9,75;R$ 14,88
TA340E;CHAVE ROT D1 T-A3 FIX-E 40A;1;R$ 164,31;7;9,75;R$ 16,02
TA332V;CHAVE ROT D1 T-A3 FIX-V 32A;1;R$ 114,42;7;9,75;R$ 11,15
TAU3116E;CHAVE ROT D1 T-AU31 FIX-E 16A;1;R$ 98,07;7;9,75;R$ 9,56
TH316E;CHAVE ROT D1 T-H3 FIX-E 16A;1;R$ 307,40;7;9,75;R$ 29,97
TH340E;CHAVE ROT D1 T-H3 FIX-E 40A;1;R$ 142,10;7;9,75;R$ 13,85
TPO1232E;CHAVE ROT D1 T-PO12 FIX-E 32A;1;R$ 161,02;7;9,75;R$ 15,69
TSD16E;CHAVE ROT D1 T-SD FIX-E 16A;1;R$ 193,23;7;9,75;R$ 18,83
TSD20E;CHAVE ROT D1 T-SD FIX-E 20A;1;R$ 380,59;7;9,75;R$ 37,10
TSD32E;CHAVE ROT D1 T-SD FIX-E 32A;1;R$ 307,40;7;9,75;R$ 29,97
TSD40E;CHAVE ROT D1 T-SD FIX-E 40A;1;R$ 307,40;7;9,75;R$ 29,97
TU232E;CHAVE ROT D1 T-U2 FIX-E 32A;1;R$ 156,33;7;9,75;R$ 15,24
TU240E;CHAVE ROT D1 T-U2 FIX-E 40A;1;R$ 233,36;7;9,75;R$ 22,75
TU232V;CHAVE ROT D1 T-U2 FIX-V 32A;1;R$ 307,40;7;9,75;R$ 29,97
TU240V;CHAVE ROT D1 T-U2 FIX-V 40A;1;R$ 275,85;7;9,75;R$ 26,89
TU316E;CHAVE ROT D1 T-U3 FIX-E 16A;1;R$ 224,34;7;9,75;R$ 21,87
TU320E;CHAVE ROT D1 T-U3 FIX-E 20A;1;R$ 265,87;7;9,75;R$ 25,92
TU332E;CHAVE ROT D1 T-U3 FIX-E 32A;1;R$ 275,66;7;9,75;R$ 26,87
TU340E;CHAVE ROT D1 T-U3 FIX-E 40A;1;R$ 285,44;7;9,75;R$ 27,83
TU332V;CHAVE ROT D1 T-U3 FIX-V 32A;1;R$ 185,24;7;9,75;R$ 18,06
TU340V;CHAVE ROT D1 T-U3 FIX-V 40A;1;R$ 282,02;7;9,75;R$ 27,49
TU432E;CHAVE ROT D1 T-U4 FIX-E 32A;1;R$ 307,40;7;9,75;R$ 29,97
TU440E;CHAVE ROT D1 T-U4 FIX-E 40A;1;R$ 256,94;7;9,75;R$ 25,05
TUV332E;CHAVE ROT D1 T-UV3 FIX-E 32A;1;R$ 310,07;7;9,75;R$ 30,23
TW316E;CHAVE ROT D1 T-W3 FIX-E 16A;1;R$ 307,40;7;9,75;R$ 29,97
TW320E;CHAVE ROT D1 T-W3 FIX-E 20A;1;R$ 356,09;7;9,75;R$ 34,71
TW332E;CHAVE ROT D1 T-W3 FIX-E 32A;1;R$ 265,13;7;9,75;R$ 25,85
TW340E;CHAVE ROT D1 T-W3 FIX-E 40A;1;R$ 275,07;7;9,75;R$ 26,81
TWP1240E;CHAVE ROT D1 T-WP12 FIX-E 40A;1;R$ 238,52;7;9,75;R$ 23,25
TA216E03;CHAVE ROT D1 TA2 FIX-E 16A Z-33;1;R$ 307,40;7;9,75;R$ 29,97
TA316E03;CHAVE ROT D1 TA3 FIX-E 16A Z33;1;R$ 139,56;7;9,75;R$ 13,60
TA332E03;CHAVE ROT D1 TA3 FIX-E 32A Z-33;1;R$ 163,50;7;9,75;R$ 15,94
TA34001;CHAVE ROT D1 TA3 FIX-E 40A Z-33;1;R$ 180,43;7;9,75;R$ 17,59
TU320E01;CHAVE ROT D1 TU3 FIX-E 20A Z-7;1;R$ 307,40;7;9,75;R$ 29,97
TU332E01;CHAVE ROT D1 TU3 FIX-E 32A Z-7;1;R$ 307,40;7;9,75;R$ 29,97
TU340E01;CHAVE ROT D1 TU3 FIX-E 40A Z-7;1;R$ 307,40;7;9,75;R$ 29,97
TA3100E;CHAVE ROT D2 T-A3 FIX-E 100A;1;R$ 304,16;7;9,75;R$ 29,65
TA350E;CHAVE ROT D2 T-A3 FIX-E 50A;1;R$ 182,99;7;9,75;R$ 17,84
PRODUTO;DESCRICAO;LOTE MINIMO;PRECO;%ICMS;%IPI;IPI
TA363E;CHAVE ROT D2 T-A3 FIX-E 63A;1;R$ 190,29;7;9,75;R$ 18,55
TA3100V;CHAVE ROT D2 T-A3 FIX-V 100A;1;R$ 319,12;7;9,75;R$ 31,11
TH3100E;CHAVE ROT D2 T-H3 FIX-E 100A;1;R$ 340,81;7;9,75;R$ 33,22
TH350E;CHAVE ROT D2 T-H3 FIX-E 50A;1;R$ 360,57;7;9,75;R$ 35,15
TSD100E;CHAVE ROT D2 T-SD FIX-E 100A;1;R$ 588,44;7;9,75;R$ 57,37
TSD50E;CHAVE ROT D2 T-SD FIX-E 50A;1;R$ 307,40;7;9,75;R$ 29,97
TSD63E;CHAVE ROT D2 T-SD FIX-E 63A;1;R$ 409,15;7;9,75;R$ 39,89
TU263E;CHAVE ROT D2 T-U2 FIX-E 63A;1;R$ 277,62;7;9,75;R$ 27,06
TU250V;CHAVE ROT D2 T-U2 FIX-V 50A;1;R$ 307,40;7;9,75;R$ 29,97
TU3100E;CHAVE ROT D2 T-U3 FIX-E 100A;1;R$ 476,29;7;9,75;R$ 46,43
TU350E;CHAVE ROT D2 T-U3 FIX-E 50A;1;R$ 322,04;7;9,75;R$ 31,39
TU363E;CHAVE ROT D2 T-U3 FIX-E 63A;1;R$ 373,27;7;9,75;R$ 36,39
TU363EZ7;CHAVE ROT D2 T-U3 FIX-E 63A + Z7;1;R$ 481,60;7;9,75;R$ 46,95
TU350V;CHAVE ROT D2 T-U3 FIX-V 50A;1;R$ 327,35;7;9,75;R$ 31,91
TU363V;CHAVE ROT D2 T-U3 FIX-V 63A;1;R$ 312,34;7;9,75;R$ 30,45
TU463E;CHAVE ROT D2 T-U4 FIX-E 63A;1;R$ 407,15;7;9,75;R$ 39,69
TUV3100E;CHAVE ROT D2 T-UV3 FIX-E 100A;1;R$ 436,22;7;9,75;R$ 42,53
TW3100E;CHAVE ROT D2 T-W3 FIX-E 100A;1;R$ 692,74;7;9,75;R$ 67,54
TW350E;CHAVE ROT D2 T-W3 FIX-E 50A;1;R$ 307,40;7;9,75;R$ 29,97
TW363E;CHAVE ROT D2 T-W3 FIX-E 63A;1;R$ 302,58;7;9,75;R$ 29,50
TA310002;CHAVE ROT D2 TA3 FIX-E 100A Z33;1;R$ 365,94;7;9,75;R$ 35,67
TA463E;CHAVE ROT D2 TA4 FIX-E 63A;1;R$ 233,27;7;9,75;R$ 22,74
TST40363E;CHAVE ROT D2 TST-403 FIX-E 63A;1;R$ 562,31;7;9,75;R$ 54,82
TU310001;CHAVE ROT D2 TU3 FIX-E 100A Z-7;1;R$ 476,86;7;9,75;R$ 46,49
TU450V;CHAVE ROT D2 TU4 FIX-V 50A;1;R$ 357,17;7;9,75;R$ 34,82
TU2100V;CHAVE ROT D2-100A T-U2 FIX-V 100A;1;R$ 475,73;7;9,75;R$ 46,38
TU3100V;CHAVE ROT D2-100A T-U3 FIX-V 100A;1;R$ 456,97;7;9,75;R$ 44,55
SCARU116H;CX CH LIGA/DESL 1P/16A 360-GRAUS MANOP-H;1;R$ 134,51;7;9,75;R$ 13,11
SCTA120H;CX CH LIGA/DESL 1P/20A 60-GRAUS MANOP=H;1;R$ 158,10;7;9,75;R$ 15,41
SCTA16F;CX CH LIGA/DESL 3P/16A 60GRAUS MANOP=F;1;R$ 50,31;7;9,75;R$ 4,90
TZ7D1;KIT PLACA FIX ADICIONAL T-Z7 P/ D1;1;R$ 21,05;7;9,75;R$ 2,05
TZ33D2V;KIT T-Z33 CH ROT D2 FIX V STK C/TRAV;1;R$ 172,74;7;9,75;R$ 16,84
STZ33D1;KIT TRAVAM CADEADO REDOND Z-33 D1;1;R$ 37,87;7;9,75;R$ 3,69
TZ33D2;KIT TRAVAM CADEADO REDOND Z-33 D2;1;R$ 50,60;7;9,75;R$ 4,93
250D0115;PARAF JUNCAO CHAVE ROT D0 T-04 M4 75.0MM;1;R$ 0,80;7;10;R$ 0,08
TZ7D2;PLACA FIXACAO ADICIONAL D2 T-Z7;1;R$ 21,75;7;9,75;R$ 2,12
26GS10085;KIT PEDAL C/ 1 BLOCO NA+NF.CAME E ACION.;1;R$ 73,53;4;9,75;R$ 7,16
S308;CX ICE 308 100X100X100 IP54;1;R$ 44,54;7;9,75;R$ 4,34
S310;CX ICE 310 251X150X107 IP 65;1;R$ 122,42;7;9,75;R$ 11,93
S312;CX ICE 312 251X150X107 IP 65;1;R$ 133,72;7;9,75;R$ 13,03
SMA17;ALCA P/ TRANSPORTE CAIXA PRIMA SHOCK BOX;1;R$ 45,84;7;9,75;R$ 4,46
SEX171B;BASE CX LIGHT EX-171 170X145X90 S/ EMB IP55;80;R$ 6,16;7;15;R$ 0,92
SEX231B;BASE CX LIGHT EX-231 234X174X90 S/ EMB IP55;20;R$ 10,46;7;15;R$ 1,56
SEX322B;BASE CX LIGHT EX-322 300X220X120 S/ EMB IP55;10;R$ 9,83;7;9,75;R$ 0,95
S0418D;CONJUNTO DOBRADICA STECK CX LIGHT;1;R$ 11,00;7;9,75;R$ 1,07
S105;CX ICE 105 80X80X60MM IP65;1;R$ 19,88;7;9,75;R$ 1,93
S107;CX ICE 107 100X100X60MM IP65;1;R$ 24,48;7;9,75;R$ 2,38
S302;CX ICE 302 196X141X84 IP55;1;R$ 71,69;7;9,75;R$ 6,98
S303;CX ICE 303 100X100X47 IP54;1;R$ 22,71;7;9,75;R$ 2,21
S304M;CX ICE 304 152X107X70 IP55;1;R$ 53,59;7;9,75;R$ 5,22
S304;CX ICE 304 152X107X70MM IP55;1;R$ 43,06;7;9,75;R$ 4,19
S305;CX ICE 305 80X80X60 IP 54;1;R$ 21,90;7;9,75;R$ 2,13
S306;CX ICE 306 196X142X84 IP55;1;R$ 65,17;7;9,75;R$ 6,35
S307;CX ICE 307 100X100X60MM C/ EMB IP54;1;R$ 29,32;7;9,75;R$ 2,85
S309;CX ICE 309 152X107X70 IP54;1;R$ 52,82;7;9,75;R$ 5,14
S309M;CX ICE 309 152X107X70MM IP54;1;R$ 126,22;7;9,75;R$ 12,30
SEV171;CX LIGHT EV-171 170X145X90 C/ EMB IP55;1;R$ 40,27;7;9,75;R$ 3,92
SEV231;CX LIGHT EV-231 234X174X90 C/ EMB IP55;1;R$ 50,93;7;9,75;R$ 4,96
SEV231A;CX LIGHT EV-231A 234X174X143 C/ EMB ALTA IP55;1;R$ 65,19;7;9,75;R$ 6,35
SEV322;CX LIGHT EV-322 300X220X120 C/ EMB IP55;1;R$ 77,34;7;9,75;R$ 7,54
SEV322A;CX LIGHT EV-322A 300X220X148 C/ EMB ALTA IP55;1;R$ 88,20;7;9,75;R$ 8,59
SEX171;CX LIGHT EX-171 170X145X90 S/ EMB IP55;1;R$ 15,75;7;9,75;R$ 1,53
SEX231;CX LIGHT EX-231 234X174X90 S/ EMB IP55;1;R$ 25,66;7;9,75;R$ 2,50
SEX231A;CX LIGHT EX-231A 234x174x143 S/EMB ALTA IP55;1;R$ 31,51;7;9,75;R$ 3,07
SEX322;CX LIGHT EX-322 300X220X120 S/ EMB IP55;1;R$ 35,49;7;9,75;R$ 3,46
SEX322A;CX LIGHT EX-322A 300X220X148 S/ EMB ALTA IP55;1;R$ 36,74;7;9,75;R$ 3,58
SSX065;CX LIGHT RED. D 65MM CEGA C/ MARC IP44;1;R$ 7,88;7;9,75;R$ 0,76
SSV065;CX LIGHT RED. D.65MM C/ 4 EMB IP44;1;R$ 16,39;7;9,75;R$ 1,59
SSV080;CX LIGHT RED. D.80MM C/ 4 EMB IP44;1;R$ 21,72;7;9,75;R$ 2,11
SSX080;CX LIGHT RED. D.80MM CEGA C/ MARC.IP44;1;R$ 7,93;7;9,75;R$ 0,77
S1111WO0;CX LIGHT S-111 110X110X65MM BRANCA OPACA;1;R$ 2,93;7;9,75;R$ 0,28
S1711WO0;CX LIGHT S-171 180X155X99MM BRANCA OPACA;1;R$ 11,29;7;9,75;R$ 1,10
SSP088;CX LIGHT SP-088 80X80X51.5 C/ EMB IP54;1;R$ 12,09;7;9,75;R$ 1,17
SSX088;CX LIGHT SX-088 80X80X51.5 S/ EMB IP54;1;R$ 7,29;7;9,75;R$ 0,71
STV231;CX LIGHT TV-231 234X174X90 TRANS C/ EMB IP55;1;R$ 67,66;7;9,75;R$ 6,59
STX231;CX LIGHT TX-231 234X174X90 TRANS S/ EMB IP55;1;R$ 29,79;7;9,75;R$ 2,90
SLB271C;CX LOGIC BOX EV-171 170X145X90 C/10 EMB IP55;1;R$ 5,73;7;9,75;R$ 0,55
SLB422C;CX LOGIC BOX EV-322 300X220X120 C/12 EMB IP55;1;R$ 25,27;7;9,75;R$ 2,46
SLB331A;CX LOGIC BOX EX-231A 234X174X143 S/EMB ALTA IP55;1;R$ 29,24;7;9,75;R$ 2,85
SLB065C;CX LOGIC BOX RED. D.65MM C/ 4 EMB IP44;1;R$ 4,75;7;9,75;R$ 0,46
SLB080C;CX LOGIC BOX RED. D.80MM C/ 4 EMB IP44;1;R$ 11,67;7;9,75;R$ 1,13
SLB080;CX LOGIC BOX RED. D.80MM CEGA C/ MARC.IP44;1;R$ 7,36;7;9,75;R$ 0,71
SLB088;CX LOGIC BOX SX-088 80X80X51.5 S/ EMB IP54;1;R$ 6,76;7;9,75;R$ 0,65
SLB331TC;CX LOGIC BOX TV-231 234X174X90 TRANS C/10 EMB IP55;1;R$ 23,23;7;9,75;R$ 2,26
SLB331T;CX LOGIC BOX TX-231 234X174X90 TRANS S/ EMB IP55;1;R$ 24,40;7;3,25;R$ 0,79
SLB211C;CX LOGICKBOX 102x102x55mm C/ 8 EMB. IP55;1;R$ 6,36;7;9,75;R$ 0,62
SLB271;CX LOGICKBOX 170x145x90mm CEGA CZ IP55;1;R$ 14,63;7;9,75;R$ 1,42
SLB331;CX LOGICKBOX 234X174X90MM CEGA CZ IP55;1;R$ 23,83;7;9,75;R$ 2,32
SLB331C;CX LOGICKBOX 234x174x90mm C/ 10 EMB. CZ IP55;1;R$ 16,78;7;9,75;R$ 1,63
PRODUTO;DESCRICAO;LOTE MINIMO;PRECO;%ICMS;%IPI;IPI
SLB_088;CX LOGICKBOX SX-088 80X80X51.5 S/EMB IP54 M543;1;R$ 16,23;7;3,25;R$ 0,52
S6100;CX P/ EXTENSAO SHOCK BOX 3 TOM SCHUK/BRAS C/BOX;1;R$ 158,90;7;9,75;R$ 15,49
SM12CMBR;CX PASS CEGA EMBUTIR IP40 BR;1;R$ 24,59;7;9,75;R$ 2,39
SCM121067;CX PASS CM12POW S/ PLACA DE MONTAGEM;1;R$ 36,86;7;9,75;R$ 3,59
SKB8G;CX PASS KICKBOX P/8 DISJ DIN IP67;1;R$ 186,02;7;9,75;R$ 18,13
STV111;CX PASS LIGHT 102X102X55MM C/ EMB TRANS IP55;1;R$ 31,77;7;9,75;R$ 3,09
STX111;CX PASS LIGHT 102X102X55MM S/ EMB TRANS IP55;1;R$ 16,85;7;9,75;R$ 1,64
SM03303;CX PASS LIGHT 114X141X91.5 C/ EMB IP54;1;R$ 32,10;7;9,75;R$ 3,12
SM03302;CX PASS LIGHT 114X141X91.5 CEGA IP55;1;R$ 22,92;7;9,75;R$ 2,23
STV161;CX PASS LIGHT 154X110X70 C/ EMB TRANS IP55;1;R$ 42,20;7;9,75;R$ 4,11
STX161;CX PASS LIGHT 154X110X70 S/ EMB TRANS IP55;1;R$ 21,10;7;9,75;R$ 2,05
SSX161;CX PASS LIGHT 154X110X70MM (CEGA) IP55;1;R$ 12,95;7;9,75;R$ 1,26
SSV161;CX PASS LIGHT 154X110X70MM C/ EMB IP55;1;R$ 25,89;7;9,75;R$ 2,52
STX171;CX PASS LIGHT 170X145X90 S/ EMB TRANS IP55;1;R$ 27,14;7;9,75;R$ 2,64
SM03403;CX PASS LIGHT 228X141X91.5 C/ EMB IP54;1;R$ 70,41;7;9,75;R$ 6,86
SM03402;CX PASS LIGHT 228X141X91.5 CEGA IP55;1;R$ 44,03;7;9,75;R$ 4,29
STV231A;CX PASS LIGHT 234X174X143 C/ EMB ALTA TRANS IP55;1;R$ 82,99;7;9,75;R$ 8,09
STX231A;CX PASS LIGHT 234X174X143 S/ EMB ALTA TRANS IP55;1;R$ 59,26;7;9,75;R$ 5,77
STV322;CX PASS LIGHT 300X220X120 C/ 12 EMB;1;R$ 519,23;7;9,75;R$ 50,62
STX322;CX PASS LIGHT 300X220X120 S/ EMB TRANS IP55;1;R$ 75,64;7;9,75;R$ 7,37
STX322A;CX PASS LIGHT 300X220X148 S/ EMB TRANS IP55;1;R$ 91,41;7;9,75;R$ 8,91
ST44420N;CX PASS LIGHT ALTA 390X310X187 C/ EMB IP54;1;R$ 139,15;7;9,75;R$ 13,56
ST44520N;CX PASS LIGHT ALTA 390X310X187 C/ EMB IP54;1;R$ 168,58;7;9,75;R$ 16,43
ST44440N;CX PASS LIGHT ALTA 390X310X187 S/ EMB IP56;1;R$ 133,58;7;9,75;R$ 13,02
ST44220N;CX PASS LIGHT ALTA 396X316X190 S/ EMB IP56;1;R$ 96,18;7;9,75;R$ 9,37
ST44621N;CX PASS LIGHT ALTA 474X396X190 C/ EMB IP54;1;R$ 210,41;7;9,75;R$ 20,51
ST44221N;CX PASS LIGHT ALTA 474X396X190 C/DOB S/EMB;1;R$ 171,69;7;9,75;R$ 16,73
ST44441N;CX PASS LIGHT ALTA 474X396X190 C/DOB S/EMB IP56;1;R$ 221,20;7;9,75;R$ 21,56
ST44721N;CX PASS LIGHT ALTA 474X396X190 C/EMB IP54;1;R$ 234,64;7;9,75;R$ 22,87
ST44010N;CX PASS LIGHT BAIXA 390X310X127 C/ EMB IP54;1;R$ 106,72;7;9,75;R$ 10,40
ST44210N;CX PASS LIGHT BAIXA 390X310X127 S/ EMB IP56;1;R$ 82,64;7;9,75;R$ 8,05
ST44430N;CX PASS LIGHT BAIXA 396X316X126 S/ EMB IP56;1;R$ 127,78;7;9,75;R$ 12,45
ST44211N;CX PASS LIGHT BAIXA 474X396X127 S/ EMB IP56;1;R$ 150,04;7;9,75;R$ 14,62
ST44011N;CX PASS LIGHT BAIXA 474X396X128 C/ 12 EMB IP54;1;R$ 174,46;7;9,75;R$ 17,00
ST44431N;CX PASS LIGHT BAIXA 474X396X130 S/ EMB IP56;1;R$ 195,21;7;9,75;R$ 19,03
SSV111;CX PASS LIGHT SV-111 102X102X55MM C/ EMB IP55;1;R$ 17,43;7;9,75;R$ 1,69
SSX111;CX PASS LIGHT SX-111 102X102X55MM S/ EMB IP55;1;R$ 11,00;7;9,75;R$ 1,07
SLB211T;CX PASS LOGIC BOX 102X102X55MM S/ EMB TRANS IP55;1;R$ 15,64;7;9,75;R$ 1,52
SLB302;CX PASS LOGIC BOX 114X141X91.5 CEGA IP55;1;R$ 22,92;7;9,75;R$ 2,23
SLB331TA;CX PASS LOGIC BOX 234X174X143 S/ EMB ALTA TRANS;1;R$ 22,23;7;9,75;R$ 2,16
SLB221;CX PASS LOGIC BOX ALTA 474X396X190 OPACA IP56;1;R$ 161,99;7;9,75;R$ 15,79
SLB441T;CX PASS LOGIC BOX ALTA 474X396X190 S/ EMB TRANS;1;R$ 60,70;7;9,75;R$ 5,91
SLB210;CX PASS LOGIC BOX BAIXA 390X310X127 S/ EMB IP56;1;R$ 77,98;7;9,75;R$ 7,60
SLB311;CX PASS LOGIC BOX BAIXA 474X396X127 S/ EMB IP56;1;R$ 141,54;7;9,75;R$ 13,80
SLB211;CX PASS LOGIC BOX SX-111 102X102X55MM S/ EMB IP55;1;R$ 10,22;7;9,75;R$ 0,99
ST9470000;CX PASS SHOCK BOX 340X282X260 PT 12 DISJ IP54;1;R$ 2.161,18;7;9,75;R$ 210,71
S4100;CX PASS SHOCK BOX 4 TOM BRAS/SCHUK 8 DISJ;1;R$ 136,36;7;9,75;R$ 13,29
S188MD;CX PASS SHOCK BOX P/8 DISJ DIN;1;R$ 197,18;7;9,75;R$ 19,22
S1812GMD;CX PASS SHOCK BOX SHOCK BOX 1X12 DISJ DIN IP67;1;R$ 320,97;7;9,75;R$ 31,29
S1824GM;CX PASS SHOCK BOX SHOCK BOX P/24 DISJ DIN;1;R$ 380,59;7;9,75;R$ 37,10
S188P;CX PASS SHOCK BOX SHOCK BOX P/8 DISJ DIN;1;R$ 128,39;7;9,75;R$ 12,51
SM03304;CX PASSAG ECOLOGY BOX P/ DISJ S/ EQUIP IP55;1;R$ 36,69;7;9,75;R$ 3,57
SPR1006M;CX SOB PRATIKA BOX C/TOM 2P+T 10A C/DISJ 1P 06A;1;R$ 21,41;4;9,75;R$ 2,08
SPR1006B;CX SOB PRATIKA BOX C/TOM 2P+T 10A C/DISJ 2P 06A;1;R$ 21,50;7;9,75;R$ 2,09
SPR1000;CX SOB PRATIKA BOX C/TOM 2P+T 10A S/DISJ;1;R$ 17,71;7;9,75;R$ 1,72
SPR2016M;CX SOB PRATIKA BOX C/TOM 2P+T 20A C/DISJ 1P 16A;1;R$ 32,98;4;9,75;R$ 3,21
SPR2020M;CX SOB PRATIKA BOX C/TOM 2P+T 20A C/DISJ 1P 20A;1;R$ 23,42;4;9,75;R$ 2,28
SPR2020B;CX SOB PRATIKA BOX C/TOM 2P+T 20A C/DISJ 2P 20A;1;R$ 45,04;7;9,75;R$ 4,39
SPR2000;CX SOB PRATIKA BOX C/TOM 2P+T 20A S/DISJ;1;R$ 14,66;7;9,75;R$ 1,42
S301;EMBUTE PVC;1;R$ 4,10;7;9,75;R$ 0,39
S610014;ESPELHO SHOCK BOX FURACAO P/ S864X TOM NBR QUASAR;1;R$ 98,90;7;9,75;R$ 9,64
S000002;PLACA DE MONTAGEM CX LIGHT ST44XX0N 356X274X0.9MM;1;R$ 92,92;7;9,75;R$ 9,05
S000046;PLACA DE MONTAGEM CX LIGHT ST44XXXN 444X335X0.9MM;1;R$ 121,52;7;9,75;R$ 11,84
S000056;PLACA DE MONTAGEM CX LIGHT SXX322/A 290X210X0.9MM;1;R$ 18,97;7;9,75;R$ 1,84
S000055;PLACA DE MONTAGEM CX LIGTH SXX231/A 230X170X0.9MM;1;R$ 31,95;7;10;R$ 3,19
S000054;PLACA MONTAGEM CX LIGHT SXX171 165X140X0.9MM;1;R$ 19,88;7;9,75;R$ 1,93
SEB9T;QUADRO SOB ECOBOX 9 DISJ PORTA TRANSP;1;R$ 174,69;7;9,75;R$ 17,03
SCD13POR;QUADRO SOB ECOLOGY BOX 13 DISJ OPACA ROSCA IP55;1;R$ 84,19;7;9,75;R$ 8,20
SCD13PTR;QUADRO SOB ECOLOGY BOX 13 DISJ TRANSP ROSCA IP55;1;R$ 92,60;7;9,75;R$ 9,02
SCD4PO;QUADRO SOB ECOLOGY BOX 4 DISJ OPACA 1/4V IP55;1;R$ 48,71;7;9,75;R$ 4,74
SCD4PT;QUADRO SOB ECOLOGY BOX 4 DISJ TRANSP 1/4V IP55;1;R$ 60,90;7;9,75;R$ 5,93
SCD6PO;QUADRO SOB ECOLOGY BOX 6 DISJ OPACA 1/4V IP55;1;R$ 58,45;7;9,75;R$ 5,69
SCD6PT;QUADRO SOB ECOLOGY BOX 6 DISJ TRANSP 1/4 IP55;1;R$ 64,31;7;9,75;R$ 6,27
SCD9POR;QUADRO SOB ECOLOGY BOX 9 DISJ OPACA ROSCA IP55;1;R$ 70,14;7;9,75;R$ 6,83
SCD9PTR;QUADRO SOB ECOLOGY BOX 9 DISJ TRANSP ROSCA IP55;1;R$ 77,16;7;9,75;R$ 7,52
SSO17P;SUPORTE PARA CAIXA SHOCK BOX;1;R$ 168,52;7;9,75;R$ 16,43
SEX171T;TAMPA CX LIGHT EX-171 170X145X90 IP55;1;R$ 8,11;7;9,75;R$ 0,79
SEX231T;TAMPA CX LIGHT EX-231 234X174X90 IP55;1;R$ 13,22;7;15;R$ 1,98
SEX231AT;TAMPA CX LIGHT EX-231A 234X174X143 ALTA IP55;20;R$ 19,21;7;15;R$ 2,88
SEX322T;TAMPA CX LIGHT EX-322 300X220X120 IP55;20;R$ 22,26;7;15;R$ 3,33
SEX322AT;TAMPA CX LIGHT EX-322A 300X220X148 ALTA IP55;10;R$ 21,61;7;15;R$ 3,24
SCM24A748;QDLF-SALAO DE FESTAS CM24 IDR 4P 40A/30MA DISJ DPS;1;R$ 135,83;4;9,75;R$ 13,24
AP0002-BR;CABO DE ENERGIA APC POWER CORD 16A;1;R$ 41,61;4;5;R$ 2,08
SDR22530A;INTERRUPTOR DIFERENCIAL 2P 25A 30MA TIPO A;1;R$ 83,67;4;6,5;R$ 5,43
SDR24030A;INTERRUPTOR DIFERENCIAL 2P 40A 30MA TIPO A;1;R$ 105,81;4;6,5;R$ 6,86
SDR26330A;INTERRUPTOR DIFERENCIAL 2P 63A 30MA TIPO A;1;R$ 133,82;4;6,5;R$ 8,69
SDR42530A;INTERRUPTOR DIFERENCIAL 4P 25A 30MA TIPO A;1;R$ 111,53;4;6,5;R$ 7,24
SDR44030A;INTERRUPTOR DIFERENCIAL 4P 40A 30MA TIPO A;1;R$ 132,41;4;6,5;R$ 8,60
SDR46330A;INTERRUPTOR DIFERENCIAL 4P 63A 30MA TIPO A;1;R$ 156,84;4;6,5;R$ 10,19
PRODUTO;DESCRICAO;LOTE MINIMO;PRECO;%ICMS;%IPI;IPI
